Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
5497,Radford Semele,S Nicholas,Warwickshire,14558,SP342647,52.28001,-1.49894,1,1955,,cast iron,Mears & Stainbank,,8.3.A.h,6.1,,0
5499,Radlett,Christ Church,Hertfordshire,15488,TQ165992,51.67987,-0.31552,2,1964,,steel,Mears & Stainbank,,,,,0
5498,Radlett,Christ Church,Hertfordshire,15488,TQ165992,51.67987,-0.31552,1,1964,,steel,Mears & Stainbank,,,,,0
5502,Radley,S James Gt,Oxfordshire,16360,SU521993,51.69071,-1.24642,9,,,,,,,,,0
5501,Radley,S James Gt,Oxfordshire,16360,SU521993,51.69071,-1.24642,2,1897,,wrought iron,Mears & Stainbank,Y,,,,0
5500,Radley,S James Gt,Oxfordshire,16360,SU521993,51.69071,-1.24642,1,1952,,oak,Whites of Appleton,,6.A,5.1,,0
8170,Radstock,S Nicholas,Somerset,14204,ST688546,51.29005,-2.44810,9,,,,,,,,,0
5503,Radstock,S Nicholas,Somerset,14204,ST688546,51.29005,-2.44810,1,1929,,oak,John Taylor & Co,,6.A,6.5R,,0
5504,Radway,S Peter,Warwickshire,16739,SP368480,52.12984,-1.46371,1,1868,,oak,Mears & Stainbank,,6.A,5.X18,6.5,1
5505,Radway,S Peter,Warwickshire,16739,SP368480,52.12984,-1.46371,1.1,2020,,steel,John Taylor & Co,,8.1.B.a,1,,
5506,Radwinter,S Mary V,Essex,11679,TL606372,52.01069,0.33882,1,1972,,cast iron,John Taylor & Co,,8.3.A.h,8.3,,0
5507,Radyr,Christ Church,"Cardiff, South Glamorgan, Wales",13964,ST132801,51.51374,-3.25125,1,1910,,cast iron,John Taylor & Co,,,,,0
5508,Ragdale,All Saints,Leicestershire,17727,SK661199,52.77301,-1.02089,1,,Y,timber,,,5.A;5.F,,,0
5510,Rainham,S Helen & S Giles,Greater London,14818,TQ520822,51.51831,0.19037,1,c1399,Y,oak,,,5.C,3.1,,0
5509,Rainham,S Margaret,Kent,16735,TQ817658,51.36291,0.60888,1,1913,,,John Taylor & Co,,,,,0
5513,Rainhill,S Ann,Merseyside,11111,SJ493912,53.41575,-2.76408,9,,,timber,,,1,,,0
5512,Rainhill,S Ann,Merseyside,11111,SJ493912,53.41575,-2.76408,2,1996,,steel,Eayre & Smith,,8.1.H.b,3.1,,0
5511,Rainhill,S Ann,Merseyside,11111,SJ493912,53.41575,-2.76408,1,1996,,steel,Eayre & Smith,,8.1.H.b,3.1,,0
5514,Rainhill,S Bartholomew (RC),Merseyside,16280,SJ501903,53.40773,-2.75064,1,1992,,steel,Merseyside Bell Restoration Group,,8.1.B.a,6.7,,0
5515,Raithby,Holy Trinity,Lincolnshire,10303,TF373670,53.18295,0.05426,1,1900,,composite,Charles Carr,,,,,0
8697,Raleigh,Christ Church,"North Carolina, United States of America",10203,,35.78092,-78.63793,3,1890,,cast iron,Meneely (Watervliet),,8.3.B.a(ii),1,,0
8696,Raleigh,Christ Church,"North Carolina, United States of America",10203,,35.78092,-78.63793,2,1992,,cast iron;steel,Eayre & Smith,,8.2.A.b,3.1,,0
8695,Raleigh,Christ Church,"North Carolina, United States of America",10203,,35.78092,-78.63793,1,1987,,steel,John Taylor & Co,,8.1.A,8.3,,0
5516,Rampisham,S Michael & All Angels,Dorset,10251,ST561021,50.81767,-2.62358,1,1937,,cast iron,John Taylor & Co,,8.3.A.h,6.1,,0
5517,Rampton,All Saints,Cambridgeshire,16801,TL428681,52.29253,0.09305,1,1938,,teak,Gillett & Johnston,,6.A,6.5,,0
5518,Rampton,All Saints,Nottinghamshire,14756,SK799785,53.29821,-0.80213,1,1947,,cast iron,John Taylor & Co,,,6,,0
5520,Ramsbottom,S Paul,Greater Manchester,13924,SD791169,53.64857,-2.31635,2,1926,,cast iron,John Taylor & Co,,8.3.D.a,,,0
5519,Ramsbottom,S Paul,Greater Manchester,13924,SD791169,53.64857,-2.31635,1,1926,,cast iron,John Taylor & Co,,8.3.D.a,5.1,,0
7937,Ramsbury,Holy Cross,Wiltshire,10903,SU273715,51.44265,-1.60763,1,,,,,,,,,0
8171,Ramsey,S Thomas a Becket,Cambridgeshire,15018,TL290851,52.44905,-0.10248,2,,,,,,,,,0
5521,Ramsey,S Thomas a Becket,Cambridgeshire,15018,TL290851,52.44905,-0.10248,1,1672,,oak,,,6.B,6.12D,,0
8916,Ramsgate,Christ Church,Kent,22930,TR376646,51.33159,1.41059,1,1847,,timber,,,6.B,1,,0
5522,Ramsgill,S Mary,North Yorkshire,12956,SE119709,54.13403,-1.81871,1,,,timber,,,,,,0
5523,Ranby,S German,Lincolnshire,12947,TF227790,53.29451,-0.15966,1,,,timber,,,6.A,3.1,,0
5525,Randwick,S John Bapt,Gloucestershire,15383,SO827067,51.75872,-2.25151,2,1902,,cast iron,John Taylor & Co,,8.3.C.e,,,0
5524,Randwick,S John Bapt,Gloucestershire,15383,SO827067,51.75872,-2.25151,1,1968,,cast iron,John Taylor & Co,,8.3.A.h,2.X1,,0
5527,Randwick,S Jude,"New South Wales, Australia",15415,,-33.91187,151.24257,2,2000,,steel,Locally manufactured,,,,,0
5526,Randwick,S Jude,"New South Wales, Australia",15415,,-33.91187,151.24257,1,2000,,steel,Locally manufactured,,,,,0
5529,Rangemore,All Saints,Staffordshire,13713,SK180229,52.80395,-1.73377,2,1867,,cast iron,John Taylor & Co,,8.3.C,,,0
5528,Rangemore,All Saints,Staffordshire,13713,SK180229,52.80395,-1.73377,1,1867,,timber,John Taylor & Co,,6.A,5.1,,0
5985,Ranmoor,S John Ev,South Yorkshire,16286,SK319862,53.37232,-1.52150,1,1934,,cast iron,Gillett & Johnston,,,,,0
5530,Ranmore,S Barnabas,Surrey,11577,TQ145504,51.24174,-0.35999,1,1911,,,,,,,,0
5531,Ranworth,S Helen,Norfolk,16061,TG355147,52.67933,1.48370,1,1937,,teak,Alfred Bowell,,6.A,6.1,,0
5532,Raskelf,S Mary,North Yorkshire,11497,SE489707,54.13039,-1.25261,1,c1599,,timber,,,5.A,3.1,,0
5533,Ratby,S Philip & S James,Leicestershire,15154,SK512059,52.64898,-1.24325,1,1896,,steel,John Taylor & Co,,8.1.A,8.1,,0
8733,Ratley,S Peter ad Vincula,Warwickshire,17249,SP383473,52.12300,-1.44134,1,1980,,steel,John Taylor & Co,,8.1.A,,,0
5535,Rattery,Blessed Virgin Mary,Devon,12406,SX740615,50.44024,-3.77496,2,1901,,oak,William Aggett and Sons,,6.A,,,0
5534,Rattery,Blessed Virgin Mary,Devon,12406,SX740615,50.44024,-3.77496,1,1901,,oak,William Aggett and Sons,,6.A,,,0
5536,Rattlesden,S Nicholas,Suffolk,11214,TL977590,52.19420,0.89249,1,1895,,wrought iron,George Day & Sons,,8.1.F.b,6.2R,,0
5537,Raunds,S Peter,Northamptonshire,11998,TL000730,52.34676,-0.53322,1,1898,,cast iron,John Taylor & Co,,8.3.C.e,8.3,,0
5538,Ravenfield,S James,South Yorkshire,11979,SK485954,53.45360,-1.26988,1,,,timber,,,6.B,,,0
5540,Raveningham,S Andrew,Norfolk,15499,TM397963,52.51268,1.53230,2,1888,,timber,,,,,,0
5539,Raveningham,S Andrew,Norfolk,15499,TM397963,52.51268,1.53230,1,1885,,timber,George Day & Sons,,,,,0
5541,Ravensden,All Saints,Bedfordshire,13118,TL077543,52.17657,-0.42536,1,1899,,deal,William Osborne,,5.D,4.3,,0
5543,Ravensthorpe,S Denys,Northamptonshire,14550,SP669703,52.32712,-1.01849,2,1935,,cast iron,John Taylor & Co,,8.3.A.h,,,0
5542,Ravensthorpe,S Denys,Northamptonshire,14550,SP669703,52.32712,-1.01849,1,1935,,cast iron,John Taylor & Co,,8.3.C.e,4.3,,0
5544,Ravenstone,All Saints,Buckinghamshire,11841,SP850509,52.14985,-0.75855,1,,,timber,,,,,,0
5545,Rawmarsh,S Mary,South Yorkshire,12811,SK435959,53.45830,-1.34524,1,1917,,cast iron,John Taylor & Co,,8.3.B.c,8.3,,0
5546,Rawtenstall,S Mary,Lancashire,13241,SD810227,53.70125,-2.28801,1,1888,,oak,Mears & Stainbank,Y,6.A,8.3,,0
